sim_type,replicate,regrowth,folder_path
facultative,001,0.001,data/sim_facultative_rep_001_gro_0.001
facultative,001,0.005,data/sim_facultative_rep_001_gro_0.005
facultative,001,0.01,data/sim_facultative_rep_001_gro_0.01
facultative,001,0.02,data/sim_facultative_rep_001_gro_0.02
facultative,001,0.03,data/sim_facultative_rep_001_gro_0.03
facultative,001,0.04,data/sim_facultative_rep_001_gro_0.04
facultative,001,0.05,data/sim_facultative_rep_001_gro_0.05
facultative,001,0.075,data/sim_facultative_rep_001_gro_0.075
facultative,001,0.1,data/sim_facultative_rep_001_gro_0.1
facultative,001,0.25,data/sim_facultative_rep_001_gro_0.25
facultative,002,0.001,data/sim_facultative_rep_002_gro_0.001
facultative,002,0.005,data/sim_facultative_rep_002_gro_0.005
facultative,002,0.01,data/sim_facultative_rep_002_gro_0.01
facultative,002,0.02,data/sim_facultative_rep_002_gro_0.02
facultative,002,0.03,data/sim_facultative_rep_002_gro_0.03
facultative,002,0.04,data/sim_facultative_rep_002_gro_0.04
facultative,002,0.05,data/sim_facultative_rep_002_gro_0.05
facultative,002,0.075,data/sim_facultative_rep_002_gro_0.075
facultative,002,0.1,data/sim_facultative_rep_002_gro_0.1
facultative,002,0.25,data/sim_facultative_rep_002_gro_0.25
facultative,003,0.001,data/sim_facultative_rep_003_gro_0.001
facultative,003,0.005,data/sim_facultative_rep_003_gro_0.005
facultative,003,0.01,data/sim_facultative_rep_003_gro_0.01
facultative,003,0.02,data/sim_facultative_rep_003_gro_0.02
facultative,003,0.03,data/sim_facultative_rep_003_gro_0.03
facultative,003,0.04,data/sim_facultative_rep_003_gro_0.04
facultative,003,0.05,data/sim_facultative_rep_003_gro_0.05
facultative,003,0.075,data/sim_facultative_rep_003_gro_0.075
facultative,003,0.1,data/sim_facultative_rep_003_gro_0.1
facultative,003,0.25,data/sim_facultative_rep_003_gro_0.25
foragers,001,0.001,data/sim_foragers_rep_001_gro_0.001
foragers,001,0.005,data/sim_foragers_rep_001_gro_0.005
foragers,001,0.01,data/sim_foragers_rep_001_gro_0.01
foragers,001,0.02,data/sim_foragers_rep_001_gro_0.02
foragers,001,0.03,data/sim_foragers_rep_001_gro_0.03
foragers,001,0.04,data/sim_foragers_rep_001_gro_0.04
foragers,001,0.05,data/sim_foragers_rep_001_gro_0.05
foragers,001,0.075,data/sim_foragers_rep_001_gro_0.075
foragers,001,0.1,data/sim_foragers_rep_001_gro_0.1
foragers,001,0.25,data/sim_foragers_rep_001_gro_0.25
foragers,002,0.001,data/sim_foragers_rep_002_gro_0.001
foragers,002,0.005,data/sim_foragers_rep_002_gro_0.005
foragers,002,0.01,data/sim_foragers_rep_002_gro_0.01
foragers,002,0.02,data/sim_foragers_rep_002_gro_0.02
foragers,002,0.03,data/sim_foragers_rep_002_gro_0.03
foragers,002,0.04,data/sim_foragers_rep_002_gro_0.04
foragers,002,0.05,data/sim_foragers_rep_002_gro_0.05
foragers,002,0.075,data/sim_foragers_rep_002_gro_0.075
foragers,002,0.1,data/sim_foragers_rep_002_gro_0.1
foragers,002,0.25,data/sim_foragers_rep_002_gro_0.25
foragers,003,0.001,data/sim_foragers_rep_003_gro_0.001
foragers,003,0.005,data/sim_foragers_rep_003_gro_0.005
foragers,003,0.01,data/sim_foragers_rep_003_gro_0.01
foragers,003,0.02,data/sim_foragers_rep_003_gro_0.02
foragers,003,0.03,data/sim_foragers_rep_003_gro_0.03
foragers,003,0.04,data/sim_foragers_rep_003_gro_0.04
foragers,003,0.05,data/sim_foragers_rep_003_gro_0.05
foragers,003,0.075,data/sim_foragers_rep_003_gro_0.075
foragers,003,0.1,data/sim_foragers_rep_003_gro_0.1
foragers,003,0.25,data/sim_foragers_rep_003_gro_0.25
obligate,001,0.001,data/sim_obligate_rep_001_gro_0.001
obligate,001,0.005,data/sim_obligate_rep_001_gro_0.005
obligate,001,0.01,data/sim_obligate_rep_001_gro_0.01
obligate,001,0.02,data/sim_obligate_rep_001_gro_0.02
obligate,001,0.03,data/sim_obligate_rep_001_gro_0.03
obligate,001,0.04,data/sim_obligate_rep_001_gro_0.04
obligate,001,0.05,data/sim_obligate_rep_001_gro_0.05
obligate,001,0.075,data/sim_obligate_rep_001_gro_0.075
obligate,001,0.1,data/sim_obligate_rep_001_gro_0.1
obligate,001,0.25,data/sim_obligate_rep_001_gro_0.25
obligate,002,0.001,data/sim_obligate_rep_002_gro_0.001
obligate,002,0.005,data/sim_obligate_rep_002_gro_0.005
obligate,002,0.01,data/sim_obligate_rep_002_gro_0.01
obligate,002,0.02,data/sim_obligate_rep_002_gro_0.02
obligate,002,0.03,data/sim_obligate_rep_002_gro_0.03
obligate,002,0.04,data/sim_obligate_rep_002_gro_0.04
obligate,002,0.05,data/sim_obligate_rep_002_gro_0.05
obligate,002,0.075,data/sim_obligate_rep_002_gro_0.075
obligate,002,0.1,data/sim_obligate_rep_002_gro_0.1
obligate,002,0.25,data/sim_obligate_rep_002_gro_0.25
obligate,003,0.001,data/sim_obligate_rep_003_gro_0.001
obligate,003,0.005,data/sim_obligate_rep_003_gro_0.005
obligate,003,0.01,data/sim_obligate_rep_003_gro_0.01
obligate,003,0.02,data/sim_obligate_rep_003_gro_0.02
obligate,003,0.03,data/sim_obligate_rep_003_gro_0.03
obligate,003,0.04,data/sim_obligate_rep_003_gro_0.04
obligate,003,0.05,data/sim_obligate_rep_003_gro_0.05
obligate,003,0.075,data/sim_obligate_rep_003_gro_0.075
obligate,003,0.1,data/sim_obligate_rep_003_gro_0.1
obligate,003,0.25,data/sim_obligate_rep_003_gro_0.25
random,001,0.001,data/sim_random_rep_001_gro_0.001
random,001,0.005,data/sim_random_rep_001_gro_0.005
random,001,0.01,data/sim_random_rep_001_gro_0.01
random,001,0.02,data/sim_random_rep_001_gro_0.02
random,001,0.03,data/sim_random_rep_001_gro_0.03
random,001,0.04,data/sim_random_rep_001_gro_0.04
random,001,0.05,data/sim_random_rep_001_gro_0.05
random,001,0.075,data/sim_random_rep_001_gro_0.075
random,001,0.1,data/sim_random_rep_001_gro_0.1
random,001,0.25,data/sim_random_rep_001_gro_0.25
random,002,0.001,data/sim_random_rep_002_gro_0.001
random,002,0.005,data/sim_random_rep_002_gro_0.005
random,002,0.01,data/sim_random_rep_002_gro_0.01
random,002,0.02,data/sim_random_rep_002_gro_0.02
random,002,0.03,data/sim_random_rep_002_gro_0.03
random,002,0.04,data/sim_random_rep_002_gro_0.04
random,002,0.05,data/sim_random_rep_002_gro_0.05
random,002,0.075,data/sim_random_rep_002_gro_0.075
random,002,0.1,data/sim_random_rep_002_gro_0.1
random,002,0.25,data/sim_random_rep_002_gro_0.25
random,003,0.001,data/sim_random_rep_003_gro_0.001
random,003,0.005,data/sim_random_rep_003_gro_0.005
random,003,0.01,data/sim_random_rep_003_gro_0.01
random,003,0.02,data/sim_random_rep_003_gro_0.02
random,003,0.03,data/sim_random_rep_003_gro_0.03
random,003,0.04,data/sim_random_rep_003_gro_0.04
random,003,0.05,data/sim_random_rep_003_gro_0.05
random,003,0.075,data/sim_random_rep_003_gro_0.075
random,003,0.1,data/sim_random_rep_003_gro_0.1
random,003,0.25,data/sim_random_rep_003_gro_0.25
